ID,Tipo,Urgência,Peso,Descrição
1,3,1,64,Roupas
2,9,3,82,Alimentos
3,9,3,26,Alimentos
4,9,3,90,Medicamentos
5,5,2,65,Eletrônicos
6,5,2,94,Eletrodomésticos
7,9,3,48,Vacinas
8,9,3,76,Equipamentos Médicos
9,9,3,53,Vacinas
10,5,2,36,Têxteis
11,9,3,54,Medicamentos
12,9,3,29,Medicamentos
13,9,3,54,Vacinas
14,9,3,50,Vacinas
15,9,3,47,Peças Mecânicas
16,3,1,82,Roupas
17,9,3,97,Equipamentos Médicos
18,9,3,71,Equipamentos Médicos
19,3,1,30,Calçados
20,5,2,46,Eletrônicos
21,5,2,38,Eletrônicos
22,5,2,33,Eletrodomésticos
23,5,2,15,Eletrodomésticos
24,9,3,23,Equipamentos Médicos
25,9,3,42,Vacinas
26,9,3,43,Vacinas
27,9,3,66,Medicamentos
28,9,3,90,Peças Mecânicas
29,3,1,38,Calçados
30,3,1,45,Calçados
31,9,3,32,Equipamentos Médicos
32,9,3,20,Peças Mecânicas
33,9,3,93,Vacinas
34,3,1,35,Roupas
35,3,1,96,Roupas
36,9,3,91,Equipamentos Médicos
37,9,3,36,Equipamentos Médicos
38,9,3,70,Peças Mecânicas
39,9,3,25,Medicamentos
40,9,3,49,Alimentos
41,3,1,87,Calçados
42,9,3,76,Equipamentos Médicos
43,5,2,28,Têxteis
44,3,1,53,Roupas
45,5,2,54,Eletrônicos
46,5,2,67,Têxteis
47,5,2,56,Eletrodomésticos
48,9,3,18,Vacinas
49,9,3,92,Medicamentos
50,9,3,15,Medicamentos
51,5,2,16,Eletrodomésticos
52,5,2,52,Eletrônicos
53,5,2,54,Eletrônicos
54,3,1,56,Calçados
55,9,3,24,Alimentos
56,3,1,63,Calçados
57,5,2,86,Têxteis
58,9,3,87,Equipamentos Médicos
59,9,3,46,Vacinas
60,5,2,84,Eletrônicos
61,9,3,15,Medicamentos
62,9,3,14,Vacinas
63,9,3,61,Alimentos
64,9,3,27,Medicamentos
65,3,1,21,Calçados
66,3,1,17,Calçados
67,9,3,18,Equipamentos Médicos
68,5,2,24,Eletrônicos
69,5,2,23,Eletrodomésticos
70,9,3,24,Alimentos
71,9,3,47,Vacinas
72,9,3,31,Alimentos
73,9,3,56,Vacinas
74,9,3,31,Medicamentos
75,9,3,36,Alimentos
76,5,2,97,Têxteis
77,9,3,65,Medicamentos
78,9,3,72,Peças Mecânicas
79,9,3,71,Vacinas
80,5,2,88,Eletrônicos
81,3,1,72,Calçados
82,9,3,28,Alimentos
83,3,1,86,Calçados
84,3,1,86,Calçados
85,5,2,50,Eletrônicos
86,5,2,46,Têxteis
87,9,3,24,Peças Mecânicas
88,9,3,25,Vacinas
89,5,2,46,Eletrodomésticos
90,3,1,44,Calçados
91,9,3,26,Peças Mecânicas
92,9,3,96,Alimentos
93,5,2,88,Eletrodomésticos
94,5,2,85,Eletrônicos
95,5,2,25,Têxteis
96,9,3,42,Alimentos
97,9,3,42,Equipamentos Médicos
98,9,3,34,Vacinas
99,3,1,73,Calçados
100,5,2,77,Eletrônicos
101,9,3,92,Equipamentos Médicos
102,5,2,40,Têxteis
103,9,3,72,Alimentos
104,9,3,24,Equipamentos Médicos
105,9,3,31,Peças Mecânicas
106,9,3,20,Vacinas
107,3,1,12,Calçados
108,9,3,50,Equipamentos Médicos
109,3,1,37,Roupas
110,3,1,90,Roupas
111,9,3,39,Medicamentos
112,9,3,33,Vacinas
113,9,3,38,Vacinas
114,5,2,43,Têxteis
115,3,1,31,Roupas
116,5,2,45,Têxteis
117,3,1,77,Calçados
118,3,1,79,Roupas
119,5,2,44,Têxteis
120,9,3,59,Equipamentos Médicos
121,3,1,18,Roupas
122,9,3,51,Alimentos
123,9,3,72,Alimentos
124,9,3,76,Alimentos
125,5,2,98,Eletrônicos
126,9,3,26,Peças Mecânicas
127,3,1,43,Calçados
128,9,3,26,Equipamentos Médicos
129,3,1,81,Calçados
130,5,2,60,Eletrodomésticos
131,9,3,76,Vacinas
132,9,3,81,Vacinas
133,3,1,53,Calçados
134,3,1,64,Roupas
135,9,3,39,Vacinas
136,9,3,96,Alimentos
137,9,3,35,Medicamentos
138,3,1,35,Roupas
139,9,3,29,Vacinas
140,9,3,30,Equipamentos Médicos
141,5,2,84,Têxteis
142,5,2,45,Eletrônicos
143,9,3,41,Alimentos
144,9,3,21,Equipamentos Médicos
145,9,3,53,Vacinas
146,5,2,64,Eletrônicos
147,9,3,41,Alimentos
148,9,3,57,Medicamentos
149,5,2,84,Eletrodomésticos
150,5,2,93,Eletrônicos
